Sample,Trial 1,Trial 2,Trial 3,Mean,Enzyme,CBDV ,CBDVA ,THCV ,CBD ,CBG ,CBDA ,CANNFLAVIN ,CBGA ,CBN ,THC ,THCVA ,CBC ,CBNA ,THCA ,CBCA ,Total THC,Total CBD,Total CBD + THC,Total Cannabinoids,Ratio CBD/THC 
Hemp Unheated,55.32961627,52.47252747,42.93706294,50.24640223,COX-1,0,4.404282026,0,37.86404062,2.794550902,355.7672943,0.539923539,17.01360425,0.475878929,36.39442351,0.773349255,0.774655989,1.957457832,70.82470713,12.14497685,107.2191306,393.6313349,500.8504655,541.7291451,1.272384643
Hemp Unheated,50.01639882,55.21978022,17.62237762,40.95285222,COX-1,0,8.628917123,0,68.14319705,0,389.6564902,0,0,5.949894561,6.667327513,0,1.849972152,0.109320547,0,13.79211553,6.667327513,457.7996872,464.4670147,494.7972347,1.014563853
Hemp Unheated,47.7861594,64.50549451,32.86713287,48.38626226,COX-1,0,4.264089902,0,50.83344234,2.071658365,240.2569908,1.229561098,15.98672721,0.304413175,43.25365547,1.268068855,5.832749069,0.916661789,60.65361816,26.93931511,103.9072736,291.0904331,394.9977068,453.8109514,1.356958738
Hemp Unheated,57.03509347,44.50549451,45.59440559,49.04499786,COX-1,0,3.461496539,0,58.2538292,1.807085104,430.8283666,0.810339357,4.768684371,4.325954584,8.88884891,0,1.714170802,0.167356701,0.802154537,14.79484551,9.691003447,489.0821958,498.7731992,530.6231322,1.019814672
Hemp Unheated,70.72299911,79.16246216,71.96558753,73.9503496,COX-2,0,4.404282026,0,37.86404062,2.794550902,355.7672943,0.539923539,17.01360425,0.475878929,36.39442351,0.773349255,0.774655989,1.957457832,70.82470713,12.14497685,107.2191306,393.6313349,500.8504655,541.7291451,1.272384643
Hemp Unheated,54.23980958,61.09989909,65.13146529,60.15705799,COX-2,0,8.628917123,0,68.14319705,0,389.6564902,0,0,5.949894561,6.667327513,0,1.849972152,0.109320547,0,13.79211553,6.667327513,457.7996872,464.4670147,494.7972347,1.014563853
Hemp Unheated,60.84498661,59.48536831,65.58062399,61.9703263,COX-2,0,4.264089902,0,50.83344234,2.071658365,240.2569908,1.229561098,15.98672721,0.304413175,43.25365547,1.268068855,5.832749069,0.916661789,60.65361816,26.93931511,103.9072736,291.0904331,394.9977068,453.8109514,1.356958738
Hemp Unheated,54.71585838,48.18365288,63.5041288,55.46788002,COX-2,0,3.461496539,0,58.2538292,1.807085104,430.8283666,0.810339357,4.768684371,4.325954584,8.88884891,0,1.714170802,0.167356701,0.802154537,14.79484551,9.691003447,489.0821958,498.7731992,530.6231322,1.019814672
Hemp Heated,27.16568545,38.31168831,29.6345515,31.70397509,COX-1,0.640035184,0,3.581661749,242.8429062,14.79617138,0,0,0,3.957453053,90.48424238,4.899408795,0.033658619,0,0,0,90.48424238,242.8429062,333.3271486,361.2355374,1.372604017
Hemp Heated,32.8287076,39.15584416,23.92026578,31.96827251,COX-1,3.910260717,0,3.073711722,301.501326,10.88773591,0,0,0,0.981653715,14.80730289,0.608369572,13.09607181,0,0,0,14.80730289,301.501326,316.3086289,348.8664324,1.0491119
